house_quarterly_growth,house_twelve_month_growth,house_average_annual_growth,house_number_of_sales,unit_quarterly_growth,unit_twelve_month_growth,unit_average_annual_growth,unit_number_of_sales,suburb_id
+7.74,+26.59,+7.89,47,,,,6,7834
+1.52,+11.36,+3.36,81,,,,0,11713
,,,4,,,,1,5325
+1.06,+18.48,+8.17,281,+9.78,+25.51,+7.17,214,4732
0.00,-0.55,+10.84,96,,,,12,11429
+0.67,+36.04,+14.69,45,,,,0,524
+2.01,+17.05,+5.08,90,-1.86,+4.85,-2.27,316,2263
+6.02,+30.49,+11.55,168,-4.21,+32.00,+11.97,19,6423
-1.19,+6.38,+1.14,114,+3.84,+3.34,+0.56,58,12164
-1.57,+4.58,+7.36,24,,,,0,7837
,,,2,,,,,5666
-2.16,+0.91,+6.07,129,+0.74,+13.22,+5.23,60,10766
-2.56,+5.69,+4.66,63,-22.13,-18.64,+2.12,79,10741
+2.02,+25.37,+10.75,22,,,,0,1766
+1.61,+12.50,+9.51,161,-1.16,+13.94,+7.07,45,9104
,,,2,,,,,10845
+22.31,+37.07,+9.76,22,,,,3,3951
+1.07,+30.07,+12.40,35,,,,7,11162
+0.89,+10.73,+3.09,111,,,,1,12808
+13.72,,,3,,,,,4301
+3.06,+13.48,+8.23,48,,,,6,12223
+10.66,+13.64,+11.31,29,-3.19,-3.29,+10.39,53,323
,,,7,,,,0,7766
+2.40,,,7,+3.57,+8.75,+13.59,26,4940
+0.86,+28.11,+9.34,204,+2.29,+21.87,+4.47,98,5885
+7.59,+20.41,+8.69,99,,,,2,7976
+1.91,+30.75,+5.91,48,+0.58,+15.56,+4.87,49,4573
+0.90,+19.01,+9.57,143,-2.69,+5.42,+4.61,24,3519
+1.24,+7.60,+8.03,64,0.00,+40.50,+12.78,20,2053
+1.82,+18.48,+5.34,29,,,,1,788
+10.70,+15.17,+13.33,106,+2.40,+20.18,+8.37,12,10297
+10.26,+34.38,+8.45,109,,,,4,4302
0.00,+12.50,+6.72,43,+0.27,-20.00,-2.63,45,8211
+3.37,+26.90,+7.53,104,+2.33,+15.21,+5.80,22,7372
-3.20,+35.52,+8.99,41,,,,0,7209
+5.00,+13.51,+6.47,33,,,,0,1840
,,,3,,,,0,5123
0.00,+9.54,+7.99,158,+5.45,+16.00,+8.83,49,11000
,,,3,,,,0,3370
+4.31,+12.59,+5.56,52,+5.49,+25.03,+0.46,10,12873
,,,1,,,,0,10119
0.00,+25.00,+13.83,31,,,,1,8386
+2.25,+26.39,+6.93,66,+2.62,+9.60,+6.92,11,2864
+1.77,+18.18,+8.62,49,,,,0,1686
,,,0,,,,0,1953
+3.63,+16.10,+6.16,119,+2.34,+25.00,+2.49,50,7861
-3.52,+8.05,+9.10,59,,,,1,965
,,,2,,,,0,11302
-6.14,+12.17,+6.21,24,,,,8,7986
+5.93,+29.76,+18.42,29,,,,9,8420
+16.44,+45.27,+7.21,19,,,,0,12473
+20.81,,,9,,,,,7143
,,,0,,,,,8750
+3.90,+7.87,+2.46,265,,,,9,12813
+1.13,+16.17,+1.42,70,0.00,+0.93,+0.57,81,3577
+9.83,+21.79,+8.49,11,,,,0,537
,,,1,,,,0,9703
+15.44,+23.85,+6.42,38,+10.74,,-1.49,11,4409
+3.96,+13.41,+5.60,88,,,,0,4361
+1.34,+16.87,+4.70,70,+12.12,-22.92,-4.47,36,12124
+4.28,+25.23,+8.92,72,,,,3,3302
+1.67,+14.06,+5.07,191,,,,10,4736
,,,6,,,,0,10446
+2.68,+21.18,+20.75,54,+2.50,+26.91,,47,86
,,,5,,,,0,7219
+6.19,+17.59,+10.24,130,0.00,-11.11,,36,6765
0.00,+26.40,,10,,,,0,12119
+3.23,+19.55,+8.22,170,,,,3,7314
0.00,+24.25,+13.95,45,,,,2,8716
+13.10,+31.03,+5.19,15,,,,0,221
+1.36,+16.41,+6.07,71,,,,0,1734
+1.39,+46.49,+16.70,25,,,,0,2817
+1.89,+4.78,+1.30,39,,,,5,6489
-7.26,-4.59,+2.49,78,-2.82,-1.33,+1.31,267,11037
,,,1,,,,2,10065
+3.87,+27.03,+13.45,133,+20.35,+46.74,+17.09,70,3905
+3.26,+30.77,+11.99,81,,,+10.10,9,10997
,,,0,-1.60,-1.39,+0.89,412,2192
+0.16,+6.00,+3.48,37,-2.20,-18.83,+0.30,44,11776
+6.85,+14.71,+4.36,74,,,,9,7294
+2.27,+46.10,+4.89,108,-5.65,+19.39,,16,5385
,,,4,,,,,1422
,,,9,,,,0,7497
+2.53,+33.15,+4.66,129,,,,1,951
+3.91,+23.67,+7.93,43,+5.81,+11.37,+6.80,15,1821
-3.23,-2.44,+3.55,17,+1.61,+4.60,-0.24,28,3501
+4.55,+38.00,+15.58,61,,,,0,1638
-1.43,-1.99,+4.26,268,-7.77,+2.65,+1.42,194,9322
,,,3,,,,,3324
+2.33,,,9,,,,0,2222
,,,2,,,,0,11127
-3.13,+14.02,+5.92,112,+5.94,+4.94,+4.53,47,9610
,,,4,,,,,5504
+2.50,+13.10,+6.10,267,-1.19,+6.62,+7.23,48,9775
,,,0,,,,,4743
+1.09,+33.24,+8.53,47,+1.06,,,10,6877
+4.66,+22.28,+8.50,75,-1.16,-3.95,+6.17,8,7585
,,,8,,,,0,2922
+5.81,+21.33,+6.90,88,+3.16,+12.64,+6.96,19,7808
-0.79,+17.85,+10.99,61,,,,11,10699
+8.63,+26.87,+11.65,151,,,,1,5429
+1.85,+9.51,+4.88,115,,,,0,11703
0.00,+21.39,+9.51,59,,,,2,2643
+1.52,+23.04,+13.79,92,,,,0,10349
0.00,+12.15,+14.68,27,,,,1,9957
+8.77,+45.86,+12.54,47,,,,1,9655
+5.34,+27.60,+10.81,138,0.00,+20.83,+7.24,170,2603
,,,3,,,,0,8739
+7.14,+35.14,+10.27,491,+9.35,+9.62,+2.71,11,5990
+1.64,+18.16,+6.71,77,+0.91,+16.84,+3.07,15,7565
,,,4,,,,0,2834
+15.60,+37.48,,10,,,,0,7050
,,,1,,,,0,247
+3.80,+20.59,+2.49,73,-2.22,+32.00,,17,12203
0.00,+35.80,+11.30,36,,,,0,4695
+4.37,+23.51,+6.98,95,+5.71,+10.45,+4.11,31,8331
+5.66,+21.74,+9.98,38,,,,1,9685
+5.54,+24.26,+9.52,171,,,,4,5727
+17.51,+48.38,+11.61,16,,,,2,8148
,,,1,,,,,8449
+1.35,+12.33,+8.13,284,+3.61,+6.86,,15,10463
+1.22,+27.20,+10.45,42,+0.39,+17.97,+10.24,35,65
-5.80,+3.50,+11.26,19,,,,1,12234
+13.90,+42.73,+9.40,27,,,,3,7286
,,,3,,,,,6361
,,,0,,,,,5397
+5.88,0.00,,21,,,,1,12603
-1.35,+19.23,+7.03,87,-2.55,+4.03,+0.30,37,3778
+4.06,+12.86,,21,,,,0,12800
+2.94,+12.90,+6.79,153,,,,4,8270
+5.00,+27.10,+6.99,46,,,,2,82
+0.74,+16.10,+11.50,15,,,,0,10001
+5.13,+25.38,+8.71,234,+1.09,+1.09,+6.34,16,3954
-2.48,+27.92,+8.67,44,-19.56,+4.45,+5.18,42,935
+1.69,+30.26,+8.67,30,,,,0,8040
,,,7,,,,0,3799
+0.26,+18.63,+8.81,65,+7.45,+14.93,+7.94,19,3
-1.28,+12.17,+3.24,92,+4.42,+35.14,,14,5172
+5.45,+48.76,+10.96,21,+2.04,+32.71,+3.40,17,7355
+1.52,+14.29,+3.99,335,,,,10,12820
+2.54,+26.04,+7.32,85,+3.66,+18.71,+0.95,51,4977
+9.93,+31.14,+7.53,16,,,,0,4771
,,,3,,,,0,6375
,,,10,,,,0,8924
+4.63,+22.93,+11.30,54,0.00,+40.00,+12.62,13,868
0.00,+36.48,+13.30,43,-0.40,+21.15,+12.25,26,8887
-2.27,+23.26,+16.38,32,+8.44,+23.93,+12.57,241,4783
-0.91,+3.81,+8.65,45,0.00,+3.94,,18,10843
+1.37,+11.53,+9.74,60,,,,5,9378
-10.17,+9.28,,19,,,,0,7223
0.00,+16.67,,13,,,,0,9315
,,,5,,,,,4719
-0.38,,+8.77,39,,,,0,5206
,,,2,,,,,1237
+0.52,+29.70,+19.19,56,,,,4,10614
,,,0,,,,,10552
+9.54,+18.77,+5.57,74,0.00,-0.85,+3.16,15,8175
+4.17,+27.59,+9.98,215,-0.82,+11.52,+6.96,89,4280
+3.65,+25.35,,22,,,,0,6620
+22.89,+14.18,+3.31,12,,,,0,12627
0.00,0.00,+0.82,13,,,,0,11793
,,,4,,,,0,8615
+1.19,+11.11,+5.19,224,-0.33,+13.96,+5.23,20,1072
+4.32,+16.86,+3.48,71,,,,1,12518
+6.25,+36.00,+5.92,32,,,,0,3597
-3.06,+10.14,+12.38,36,,,,1,10128
+2.44,+16.69,+5.44,26,,+8.17,,5,634
+1.33,+10.95,+8.09,44,+8.42,+22.62,+8.34,41,6862
+7.04,+19.18,+6.79,48,+3.32,+21.11,+4.61,46,7080
+9.83,,+10.67,94,,,,2,1640
+8.82,+15.63,+13.67,31,,,,0,4360
,,,0,,,,0,6531
+1.51,+20.36,+5.46,104,+1.92,+12.77,+2.65,93,2189
-2.09,+6.78,+7.61,24,-0.77,-2.38,,14,1980
-13.84,+29.94,+12.75,13,,,,1,10626
+8.22,+24.62,+9.19,74,-6.22,-8.38,+6.29,14,7564
,,,1,,,,0,1013
+2.63,+18.72,+8.39,29,,,,7,7151
-6.29,,,4,,,,,4448
-1.37,+14.06,+6.51,136,-0.55,+2.86,-0.09,333,1776
,,,3,,,,,1831
+5.13,+49.05,+13.78,68,+4.03,+21.09,+8.90,20,133
+1.11,+14.11,+8.51,288,,,,4,9970
+0.97,+21.96,+11.93,208,-0.37,+36.19,+9.14,145,3351
+15.53,+24.00,+11.28,13,,,,1,3600
+2.04,+29.70,+3.46,21,,,,0,6851
,,,4,,,,,5620
-1.72,+9.27,+8.40,76,,,,6,1540
,,,0,,,,0,10396
-0.39,+10.90,+6.08,324,+1.72,+3.53,+7.03,46,10178
+5.94,+27.21,+11.68,58,+5.73,+3.75,+6.01,134,2913
+10.83,+37.56,+11.21,37,0.00,,,10,594
+3.77,+27.31,+7.12,140,,,,4,5985
+28.85,+42.60,,9,,,,0,3542
+6.38,+21.95,+7.47,28,,,,0,2014
+5.67,+22.07,+13.86,25,,,,0,9738
+9.43,+49.61,+8.73,70,-3.26,+16.64,+11.66,34,4729
-10.28,-15.00,-2.01,20,-8.08,-23.02,,15,332
-0.08,+2.17,+11.51,38,-3.31,0.00,+1.18,39,7382
+0.20,+17.88,+7.79,33,,,,1,2685
,,,0,,,,0,9365
,,,2,,,,0,12344
,,,3,,,,,6857
+11.19,+43.20,+16.94,16,,,,0,1894
-0.09,+17.50,+7.51,93,0.00,+1.81,+5.89,113,10724
+28.00,+32.23,+13.82,45,,,,0,1763
+16.59,+22.35,+13.10,62,-1.39,+9.65,+4.09,310,6009
+3.49,+23.61,,22,0.00,,+3.03,15,6460
,,,5,,,,0,8725
+0.81,+9.11,+5.30,654,+0.59,+4.78,+5.00,70,10061
-20.00,,,10,,,,,514
+1.02,+17.46,+3.86,12,-1.92,+13.47,+5.32,53,43
,,,8,,,,0,6333
,,,5,,,,3,8796
,+26.46,,9,,,,0,1031
,,,3,,,,,1260
+13.82,+48.86,-8.64,49,,,,3,7182
-11.81,-1.30,,10,,,,0,532
,,,0,,,,,11056
0.00,+28.23,+19.27,14,,,,5,8524
-2.44,+20.81,+13.40,88,-1.84,+7.74,+3.08,10,701
,,,6,,,,,4972
0.00,-1.64,+4.39,47,,,,4,12763
+3.15,+21.57,+10.04,99,+19.54,+26.35,-1.22,8,4330
,,,2,,,,0,8159
,,,6,,,,,969
+3.92,+23.48,+12.11,242,-3.30,+23.34,+10.67,52,1289
0.00,+23.08,+10.37,53,+1.44,+9.05,+4.51,106,4288
-14.15,-15.38,+0.93,37,+4.04,+18.47,+0.18,153,6258
+1.65,+2.50,+6.21,51,,,,6,9418
+1.33,+15.66,+9.60,36,-1.81,+5.98,+9.30,16,8871
+11.26,+20.65,+9.21,44,,,,0,1020
+2.75,+26.55,+10.49,142,,,,10,5476
,,,8,,,,0,9917
+2.65,+25.54,+10.91,158,+8.74,+24.44,+4.59,17,4525
+1.63,+24.67,+9.28,44,,,,0,1213
+8.63,+34.33,+7.74,230,+5.12,+25.54,+5.86,52,5523
+4.41,+27.97,+12.74,69,+3.15,+22.92,+10.38,11,184
+9.09,+23.43,+9.57,137,+0.68,+14.84,+5.78,18,10772
+1.97,+14.39,+5.61,93,+4.15,+23.04,+5.35,16,3014
+6.02,+27.54,+9.27,37,,,,0,5967
+2.26,+28.32,+11.80,56,,,,0,4596
-1.47,+10.82,+6.57,35,,,,0,976
+2.75,+22.24,+12.84,36,,,,2,3256
,,,2,,,,0,11354
-1.09,+2.64,+7.33,61,,,,0,11321
+5.15,+31.19,+10.68,258,+6.33,-22.93,-5.50,7,1904
0.00,+18.92,+8.11,49,+5.67,+10.07,+4.78,14,128
,,,4,,,,0,1759
+2.82,+22.13,+8.53,73,+11.03,+26.78,+6.89,41,7079
0.00,,+13.03,9,,,,0,1613
+28.28,+27.34,+10.14,20,,,,3,504
0.00,+8.96,+4.83,20,,,,5,7644
+0.75,+9.55,+6.19,201,+0.78,+4.24,+4.90,347,9926
+2.40,+18.15,+5.95,95,+6.52,+44.36,+5.27,12,174
+8.33,+26.39,+8.81,68,-5.79,+1.90,+12.75,17,1994
+2.88,+15.54,+11.03,50,,,,1,7665
+5.92,+33.08,+13.38,71,,,,0,4860
+1.84,+37.08,+17.27,98,+0.28,+18.00,+4.80,23,8888
+4.64,+27.39,+11.63,87,+3.13,+7.61,+2.38,269,6625
,,,0,,,,0,10944
,,,8,,,,,2950
-4.62,+20.74,+7.02,71,+2.30,+4.07,+3.56,139,3004
+0.61,+20.98,+5.84,20,,,,0,10938
+3.45,+41.84,+7.81,38,,,,2,12597
,,,0,,,,,11263
-6.43,+7.38,+4.98,97,-7.82,+1.32,+4.72,46,9427
-0.14,+28.93,+9.46,10,,,,0,1628
-2.75,+7.83,+7.85,51,,,,2,6260
-1.44,+24.76,+6.81,75,-5.17,-10.08,+1.23,53,2268
,,,6,,,,0,1544
+2.68,+13.56,+7.35,343,+1.03,+15.70,+7.20,79,9998
0.00,+15.79,+8.75,22,,,,0,6195
-9.70,+22.19,,15,+0.93,+10.20,+1.76,226,1599
-0.31,+17.84,+10.46,44,,,,9,1170
-1.06,+13.57,+8.11,83,,,,5,9770
+0.55,+21.54,+8.62,85,-1.89,+11.69,+7.74,10,3568
+3.13,+18.49,+7.03,105,,,,3,7622
,,,2,,,,0,382
+17.59,+39.37,+9.60,16,,,,0,5245
+2.61,+32.21,+12.62,78,0.00,+25.95,+8.85,26,8746
,,,0,,,,,4589
+4.55,+15.90,+7.02,153,,,,7,4624
,,,0,,,,,11880
+1.89,+5.99,+3.71,166,,,,5,12053
+5.18,+34.00,+10.32,560,+17.55,+43.51,+5.64,36,5721
+4.11,+19.50,+10.66,123,,,,7,3335
-1.04,+19.50,+8.91,41,,,,6,3795
-0.80,+15.84,+9.22,56,,,,1,526
,,,1,,,,,5342
+4.67,+13.77,+2.91,354,-1.67,-4.84,-0.19,18,1670
,,,2,,,,0,9412
+3.30,+18.36,+5.21,56,-3.05,-2.06,-2.76,249,3010
-0.23,+9.53,+4.34,135,0.00,+11.03,+4.76,70,10027
,,,2,,,,,8518
0.00,,,3,,,,0,1267
+3.94,+20.22,+7.39,58,,,,2,8279
+14.63,+6.82,,27,,,,0,5918
+5.54,+8.99,+7.70,33,,,,2,10379
+11.79,+38.40,+10.97,62,+1.64,+8.14,+5.14,40,5033
+7.77,+7.45,+7.41,29,+2.99,+17.55,,18,7965
+3.70,+30.84,+13.75,119,+4.58,+23.44,+10.85,118,5758
+8.44,+26.49,+6.88,32,,,,4,7833
+0.95,+16.00,+5.88,383,+4.55,+6.77,+9.79,71,10910
+11.75,+44.68,+11.48,47,0.00,+7.09,,8,1275
,,,7,,,,,2358
-0.86,+19.67,+11.46,103,-1.50,+19.12,+7.13,25,1948
,,,2,,,,0,10352
0.00,+12.00,+4.66,32,,,,1,12246
+10.56,+26.75,+16.18,32,,,,0,11220
-13.65,-27.58,+0.31,16,,,,0,11667
,,,2,,,,0,662
+0.42,+13.02,+4.51,191,+1.12,+2.47,-6.88,15,12171
+4.97,+22.58,+10.95,110,+10.34,+25.76,+12.20,82,5202
,,,8,,,,0,7455
,,,7,,,,0,11242
-0.73,+9.79,+4.67,87,-4.67,-5.80,+0.39,604,11036
+3.02,+24.63,+7.21,154,-3.53,-8.79,-1.60,119,1298
+3.52,+25.16,+4.74,59,+3.03,+11.24,+0.74,41,349
+1.09,+13.41,+4.89,42,,,,0,11603
,,,0,,,,,9830
-1.34,+7.27,+2.26,97,-4.26,-10.00,-8.17,43,11626
,,,3,,,,0,8824
+0.93,+11.34,+3.26,141,+1.79,+21.45,+0.45,26,12042
+2.05,,,12,,,,5,5285
,,,0,,,,0,4442
-28.77,+16.28,,11,,,,0,2759
+4.50,+21.25,+7.18,25,-0.70,,,9,296
,,,0,,,,1,11112
,,,0,,,,,9022
,,,1,,,,0,199
+11.17,+23.90,+9.79,63,,,,2,3193
+4.76,+18.92,-0.70,17,,,,0,12677
0.00,+10.00,+4.47,288,+0.34,-1.33,+3.48,331,9340
+3.27,+12.34,+11.92,62,,,,2,9535
+0.60,+16.97,+3.56,68,-0.79,+0.57,+0.11,22,545
+0.90,+14.76,+4.54,226,-4.14,-8.70,+5.36,84,11495
-5.13,-1.53,+9.44,19,,,,2,10799
,,,9,-1.23,-4.00,-2.15,92,3012
+0.80,+14.48,+5.29,125,,,,1,2580
0.00,+41.73,+13.96,89,-1.12,+14.29,+11.88,34,2735
+1.12,+24.63,+12.17,64,-0.57,+20.27,+6.45,76,1365
+3.30,+11.64,+4.21,260,0.00,,,8,4605
-0.71,+9.38,+14.15,10,,,,0,9244
+9.86,,+11.55,7,,,,0,7395
,,,3,,,,1,1720
,,,5,,,,0,6633
,,,1,,,,0,10373
+9.76,,,11,,,,,8236
+6.24,+18.88,+5.37,145,,,,3,774
,,,0,,,,0,10395
,,,4,,,,,5733
+6.44,+17.45,+5.03,32,+3.18,+24.20,,11,7814
0.00,+16.53,+10.70,66,,,,2,8052
+8.10,+31.70,+11.16,198,0.00,+13.43,+5.55,23,2698
+4.96,+5.26,+6.72,110,0.00,-1.56,+0.32,131,11779
+0.24,+7.35,+7.13,38,+3.52,+1.75,+5.24,252,2613
-2.70,+39.29,+11.46,22,,,,1,12232
+6.16,,,9,,,,0,5962
+5.56,+28.38,+7.20,384,+0.45,+15.64,+4.89,64,4515
+12.68,+19.40,+9.74,11,,,,6,7313
+4.80,+22.45,+7.22,54,+2.56,+8.20,,6,6062
0.00,+23.24,+13.00,77,,,,1,5851
+4.48,+30.84,+12.70,21,,,,3,3168
+6.07,+26.25,+8.58,140,-0.39,+1.77,-0.08,228,3031
0.00,+9.34,+7.27,34,,,,2,7655
0.00,-1.96,,11,,,,0,11531
+10.55,+21.05,+11.10,11,,,,0,11677
+3.52,+18.55,+4.14,94,,,,0,12231
+0.54,+29.28,+12.21,48,+11.11,+41.54,+14.54,27,4358
+5.60,+20.00,,18,-6.57,-33.93,,18,6309
-0.10,+12.55,+7.16,656,+0.45,+12.88,+8.37,398,9842
,,,5,,,,0,2846
+5.15,+23.79,+9.58,307,-15.88,,+18.05,9,2800
,,,0,,,,,8461
+9.11,+18.75,+4.25,57,,,,0,6963
+5.92,+30.59,+12.94,48,,,,1,3836
+3.33,+34.17,+17.94,38,,,,3,9432
-6.22,+19.70,+17.93,65,+8.15,+28.30,+8.13,51,859
,,,0,,,,,11304
,,,3,,,,0,8390
0.00,+9.79,+4.42,77,-2.08,+0.58,+2.80,120,10603
0.00,+20.77,+5.70,30,,,,6,11674
+2.52,+1.37,+16.95,48,,,,0,10998
,,,2,,,,,5615
+3.51,+40.87,+10.30,88,-14.49,-5.91,+16.40,14,3258
+1.69,+40.19,+16.84,23,+4.32,+20.02,+6.20,215,101
+3.11,+29.69,+9.47,181,+3.11,+21.15,+6.69,78,6892
,,,5,,,,0,2788
+6.87,+50.00,+15.74,29,,,,0,6575
+6.22,+21.84,+6.49,162,+9.51,+34.15,+9.12,22,3283
+2.67,+15.80,+9.46,15,,,,1,3059
-6.67,+5.53,+20.47,45,,,,0,12674
+1.10,+2.22,+1.68,167,-1.23,+0.12,-0.93,84,11923
+14.69,+37.13,+12.99,22,,,,9,8896
-4.87,+7.85,+4.83,189,-1.10,-3.89,-0.85,49,1272
+22.22,+41.03,+12.15,30,,,,0,326
+2.41,+4.82,+12.59,116,,,,1,11931
+3.02,+29.40,+9.57,245,+4.04,+27.27,+6.33,50,4215
,,,0,,,,1,10658
+1.81,+25.00,+6.40,55,+6.67,-47.79,-5.83,13,7383
+1.44,+9.88,+5.94,118,,,,0,4528
,,,7,,,,0,4677
0.00,+38.16,+19.83,47,,,,0,8806
,,,5,,,,0,3703
-0.47,+7.13,+3.19,110,-0.40,+8.63,+2.11,80,11616
+0.97,+15.56,+4.12,80,,,,0,12322
+0.58,+25.36,+9.88,54,,,,9,59
+9.88,+29.45,+20.47,16,,,,0,141
0.00,+27.33,+11.03,24,,,,0,1177
+9.52,,+3.99,10,,,,0,8006
,,,9,,,,,3757
+3.33,+15.91,+5.09,18,+10.67,+29.69,+5.27,21,7636
-1.07,+19.74,+7.64,50,,,,0,2982
+2.17,+19.66,+5.12,36,-5.34,+3.33,+0.73,45,5125
-0.51,+24.21,+9.93,65,,,,0,9741
,,,6,,,,,923
+2.60,+5.52,+5.78,78,-0.60,+1.98,+2.06,33,10464
0.00,+11.11,+4.81,339,+1.21,+8.62,+4.74,145,9817
-0.23,+16.22,+6.22,21,,,,0,7290
+4.44,+4.91,+12.23,14,,,,1,9794
+0.86,+40.50,+8.95,25,,,,0,4968
+3.23,+14.29,+4.84,49,,,,0,3716
+1.68,+27.10,+13.37,286,+3.15,+30.43,+11.45,62,11201
+4.31,+8.04,+6.84,69,,,,0,7453
+2.00,+12.58,+8.60,58,,,,0,9801
+3.90,+15.11,+6.17,97,0.00,+9.26,+0.17,45,6784
+2.73,+32.71,+11.69,172,+21.47,,,8,6192
+5.71,+39.62,+7.98,54,,,,1,6276
+16.67,+29.63,+14.22,12,,,,0,3285
-2.47,+17.88,+13.62,182,+4.88,+30.63,+16.08,195,6035
-2.04,+20.00,+4.86,21,,,,0,819
,,,3,,,,0,9008
,,,1,,,,0,3104
0.00,-2.90,+4.03,21,,,,0,6522
0.00,+34.66,+12.42,69,+0.11,+14.01,+6.48,60,5230
+2.26,+9.43,+1.50,92,+2.86,+7.46,-0.81,94,11733
,,,2,,,,0,663
+5.35,+22.42,+7.40,220,+0.35,+7.46,+7.14,99,6918
+3.70,+29.83,+9.73,288,+6.25,+31.95,+8.87,137,6106
+6.79,+5.84,+1.69,33,,,,4,6638
+12.34,+21.83,+16.97,44,,,,3,1144
+3.23,+21.21,+7.86,47,,,,0,1012
,,,11,,,,,1155
0.00,+22.04,+16.72,21,,,,0,10990
+2.54,-17.12,,13,,,,0,10994
+3.97,+33.97,+10.53,145,+5.43,+24.36,+5.73,32,4482
+3.37,+22.16,+11.28,186,0.00,+12.41,+9.19,31,9934
+1.97,+14.34,+11.31,24,,,,0,10380
+0.26,+16.64,+8.50,53,-0.96,-5.33,-0.19,49,1633
+12.22,+36.87,+10.70,18,,,,1,6836
,,,5,-11.68,-11.68,-1.01,28,2012
+11.11,+16.54,+20.98,17,,,,0,10089
+4.25,+22.25,+10.74,112,-0.51,+11.56,+8.78,14,1711
+3.64,+37.02,+17.25,16,,,,0,8628
,,,0,,,,1,10672
+2.56,+11.11,+10.45,102,,,,6,10366
0.00,+19.95,+9.87,40,+11.33,+47.97,+8.40,21,97
+0.81,+8.16,+2.62,49,-0.51,+2.08,-2.14,147,2047
+6.29,+27.74,+16.71,9,,,,,8552
+0.74,+24.29,+13.99,56,+7.41,+42.65,+17.34,30,8421
0.00,+20.69,+10.93,59,+0.16,+24.19,+5.39,156,538
,,,5,,,,0,6513
,,,6,,,,5,3866
+2.56,+33.33,+11.29,40,+1.41,+14.77,+2.79,169,6850
+3.09,+11.33,+6.66,4,,,,0,1461
-3.63,+17.62,+6.03,63,,,,4,396
+0.55,+36.08,+14.97,7,,,,0,8485
,,,1,,,,0,6580
+2.80,+20.48,+18.54,66,+9.03,+23.57,+15.23,22,8842
,,,1,,,,,417
+2.74,+12.33,+4.69,74,+1.97,+12.27,+4.19,27,2863
+4.52,+46.64,+14.93,82,,,,7,2213
+4.13,+20.74,+9.84,185,-3.14,+6.21,+4.43,16,7284
+5.26,+21.74,+6.96,112,,,,0,2772
+1.98,+25.18,+6.81,54,,,,5,2283
,,,3,,,,0,1558
+1.84,+22.51,+8.11,88,,,,1,5467
+10.57,+41.01,+15.48,34,,,,0,1214
,,,0,,,,,8351
+2.76,+5.67,-2.06,115,,,,4,12436
-2.75,+6.11,+3.98,77,-0.32,+4.35,+5.21,45,10208
,,,6,,,,0,8488
+7.28,+13.54,+9.16,36,+5.72,,,8,5916
,,,1,,,,,11471
+11.72,+35.56,+9.93,47,,,,0,7722
+2.32,+3.59,+1.42,51,,,,1,5686
,,,1,,,,,3086
-11.49,-16.42,,14,,,,1,7707
,,,2,,,,0,3544
+4.22,+20.68,+5.81,68,0.00,+19.59,,10,1270
+3.85,+9.98,+1.15,151,-1.73,,,13,4421
+2.09,+18.86,+13.62,36,+4.29,+15.42,+5.63,23,47
+0.61,+36.78,+11.24,45,+22.72,+35.32,+11.20,20,108
-1.15,+33.09,+11.18,31,,,,2,2360
+3.16,+38.52,+10.54,179,,,,6,5613
-2.92,+8.21,+3.58,75,+10.64,+28.71,+4.46,49,2974
+3.17,+10.99,+4.00,507,+3.28,+5.00,-4.55,77,12036
+2.47,+27.13,+10.10,190,+6.62,+10.75,+6.53,14,5484
0.00,+22.91,+8.18,95,,,,0,709
,,,0,,,,0,8699
0.00,+8.46,+11.31,31,-10.41,-8.20,+4.91,24,3362
+4.62,+35.53,+16.93,48,,,,0,4801
+1.35,+29.42,+10.08,191,+3.13,+28.33,+10.13,26,4626
+14.59,+26.95,+11.23,18,,,,0,4553
+1.31,+10.29,+3.49,97,+12.78,+19.21,+4.86,86,2833
+3.45,+3.85,,8,,,,0,10561
,,,3,,,,,8571
+22.22,+44.26,,13,,,,0,3167
+0.36,+18.29,-4.30,39,,,,0,7134
-14.29,-13.16,-2.46,23,0.00,-12.00,-0.13,103,9735
0.00,+23.67,+3.83,23,,,,1,6629
0.00,+30.79,+10.99,117,0.00,+33.21,+10.66,51,2148
+3.38,+23.14,+7.95,36,,,,4,10773
+2.22,+18.71,+6.79,362,+12.32,+18.68,+5.14,56,10064
-1.96,+7.53,,13,,,,0,7377
-0.59,+10.89,+12.80,31,,,,2,11256
+0.52,+16.18,+7.35,36,-23.81,,,13,11524
+3.16,+4.93,+4.06,108,,,,0,5710
+7.60,+17.17,+12.62,32,,,,4,10225
+3.29,+25.48,+12.99,224,+18.75,+45.20,+16.95,20,10822
0.00,+9.87,+7.64,429,-2.62,0.00,+5.79,42,10449
-12.27,+4.11,+5.69,20,,,,0,11197
-0.32,+11.88,+9.64,22,+1.76,+15.31,+7.24,38,1277
+4.94,+26.43,+10.63,50,,,,9,115
+9.06,+18.71,+13.27,108,0.00,+6.80,+7.26,13,10238
+6.50,+27.31,+10.16,86,,,,3,8070
-5.05,+6.02,+2.85,137,-3.78,-6.25,+0.27,353,2097
+9.64,+29.48,+9.59,49,,,,0,4691
,,,4,,,,0,3780
,,,6,,,,,4955
,,,0,,,,,9607
+10.47,+39.19,+9.26,317,+11.54,+23.40,+4.59,180,4984
+1.35,+9.21,+11.00,328,+6.02,+23.03,+9.15,35,10562
